LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1728660801.3899999,4455,2773025800000.0,2024-10-11 15:33:21.389999866+00:00,2024-10-11 17:33:21.389999866+02:00
1728660827.79,4455,2735818600000.0,2024-10-11 15:33:47.789999962+00:00,2024-10-11 17:33:47.789999962+02:00
1728660854.1899998,4455,2842915000000.0,2024-10-11 15:34:14.189999819+00:00,2024-10-11 17:34:14.189999819+02:00
1728660880.59,4455,2938028000000.0,2024-10-11 15:34:40.589999914+00:00,2024-10-11 17:34:40.589999914+02:00
1728660906.99,4455,2806294400000.0,2024-10-11 15:35:06.990000010+00:00,2024-10-11 17:35:06.990000010+02:00
1728660933.3899999,4455,2816015200000.0,2024-10-11 15:35:33.389999866+00:00,2024-10-11 17:35:33.389999866+02:00
1728660959.79,4455,2793556800000.0,2024-10-11 15:35:59.789999962+00:00,2024-10-11 17:35:59.789999962+02:00
1728660986.1899998,4455,2771266000000.0,2024-10-11 15:36:26.189999819+00:00,2024-10-11 17:36:26.189999819+02:00
1728661012.59,4455,2784171200000.0,2024-10-11 15:36:52.589999914+00:00,2024-10-11 17:36:52.589999914+02:00
1728661038.99,4455,2803780400000.0,2024-10-11 15:37:18.990000010+00:00,2024-10-11 17:37:18.990000010+02:00
1728661065.3899999,4455,2848445800000.0,2024-10-11 15:37:45.389999866+00:00,2024-10-11 17:37:45.389999866+02:00
1728661091.79,4455,2823138200000.0,2024-10-11 15:38:11.789999962+00:00,2024-10-11 17:38:11.789999962+02:00
1728661118.1899998,4455,2825149400000.0,2024-10-11 15:38:38.189999819+00:00,2024-10-11 17:38:38.189999819+02:00
1728661144.59,4455,2755595400000.0,2024-10-11 15:39:04.589999914+00:00,2024-10-11 17:39:04.589999914+02:00
1728661170.99,4455,2720064200000.0,2024-10-11 15:39:30.990000010+00:00,2024-10-11 17:39:30.990000010+02:00
1728661197.3899999,4455,2706404800000.0,2024-10-11 15:39:57.389999866+00:00,2024-10-11 17:39:57.389999866+02:00
1728661223.79,4455,2662912600000.0,2024-10-11 15:40:23.789999962+00:00,2024-10-11 17:40:23.789999962+02:00
1728661250.1899998,4455,2816099000000.0,2024-10-11 15:40:50.189999819+00:00,2024-10-11 17:40:50.189999819+02:00
1728661276.59,4455,2752075800000.0,2024-10-11 15:41:16.589999914+00:00,2024-10-11 17:41:16.589999914+02:00
1728661302.99,4455,2857077200000.0,2024-10-11 15:41:42.990000010+00:00,2024-10-11 17:41:42.990000010+02:00
1728661329.3899999,4455,2771936400000.0,2024-10-11 15:42:09.389999866+00:00,2024-10-11 17:42:09.389999866+02:00
1728661355.79,4455,2802020600000.0,2024-10-11 15:42:35.789999962+00:00,2024-10-11 17:42:35.789999962+02:00
