LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1729876096.59,3234763800000.0,4455,2024-10-25 17:08:16.589999914+00:00,2024-10-25 19:08:16.589999914+02:00
1729876110.99,3306748000000.0,4455,2024-10-25 17:08:30.990000010+00:00,2024-10-25 19:08:30.990000010+02:00
1729876125.3899999,3315966000000.0,4455,2024-10-25 17:08:45.389999866+00:00,2024-10-25 19:08:45.389999866+02:00
1729876139.79,3280518600000.0,4455,2024-10-25 17:08:59.789999962+00:00,2024-10-25 19:08:59.789999962+02:00
1729876154.1899998,3271635800000.0,4455,2024-10-25 17:09:14.189999819+00:00,2024-10-25 19:09:14.189999819+02:00
1729876168.59,3286971200000.0,4455,2024-10-25 17:09:28.589999914+00:00,2024-10-25 19:09:28.589999914+02:00
1729876182.99,3298116600000.0,4455,2024-10-25 17:09:42.990000010+00:00,2024-10-25 19:09:42.990000010+02:00
1729876197.3899999,3315882200000.0,4455,2024-10-25 17:09:57.389999866+00:00,2024-10-25 19:09:57.389999866+02:00
1729876211.79,3305574800000.0,4455,2024-10-25 17:10:11.789999962+00:00,2024-10-25 19:10:11.789999962+02:00
1729876226.1899998,3287809200000.0,4455,2024-10-25 17:10:26.189999819+00:00,2024-10-25 19:10:26.189999819+02:00
1729876240.59,3276663800000.0,4455,2024-10-25 17:10:40.589999914+00:00,2024-10-25 19:10:40.589999914+02:00
1729876254.99,3290155600000.0,4455,2024-10-25 17:10:54.990000010+00:00,2024-10-25 19:10:54.990000010+02:00
1729876269.3899999,3322083400000.0,4455,2024-10-25 17:11:09.389999866+00:00,2024-10-25 19:11:09.389999866+02:00
1729876283.79,3260239000000.0,4455,2024-10-25 17:11:23.789999962+00:00,2024-10-25 19:11:23.789999962+02:00
1729876298.1899998,3287138800000.0,4455,2024-10-25 17:11:38.189999819+00:00,2024-10-25 19:11:38.189999819+02:00
1729876312.59,3230071000000.0,4455,2024-10-25 17:11:52.589999914+00:00,2024-10-25 19:11:52.589999914+02:00
1729876326.99,3230238600000.0,4455,2024-10-25 17:12:06.990000010+00:00,2024-10-25 19:12:06.990000010+02:00
1729876341.3899999,3233423000000.0,4455,2024-10-25 17:12:21.389999866+00:00,2024-10-25 19:12:21.389999866+02:00
1729876355.79,3246747200000.0,4455,2024-10-25 17:12:35.789999962+00:00,2024-10-25 19:12:35.789999962+02:00
1729876370.1899998,3237613000000.0,4455,2024-10-25 17:12:50.189999819+00:00,2024-10-25 19:12:50.189999819+02:00
1729876384.59,3235182800000.0,4455,2024-10-25 17:13:04.589999914+00:00,2024-10-25 19:13:04.589999914+02:00
1729876398.99,3204679600000.0,4455,2024-10-25 17:13:18.990000010+00:00,2024-10-25 19:13:18.990000010+02:00
1729876413.3899999,3196634800000.0,4455,2024-10-25 17:13:33.389999866+00:00,2024-10-25 19:13:33.389999866+02:00
1729876427.79,3229233000000.0,4455,2024-10-25 17:13:47.789999962+00:00,2024-10-25 19:13:47.789999962+02:00
1729876442.1899998,3205098600000.0,4455,2024-10-25 17:14:02.189999819+00:00,2024-10-25 19:14:02.189999819+02:00
1729876456.59,3243981800000.0,4455,2024-10-25 17:14:16.589999914+00:00,2024-10-25 19:14:16.589999914+02:00
